,id_barrio,Distritos,Barrios,Locales,Locscenso,Censo-2021,Censo-2019,D-Censo,censo,Abstención-2021,Abstención-2019,D-Abs,Blanco-2021,Blanco-2019,D-Blc,Nulos-2021,Nulos-2019,D-Nulos,PP-2021,PP-2019,D-PP,VarPP,VarPPcenso,VarPPlocales,anterior,PSOE-2021,PSOE-2019,D-PSOE,VarPSOE,VarPSOEcenso,VOX-2021,VOX-2019,D-VOX,VarVOX,VarVOXcenso,MAS MADRID-2021,MAS MADRID-2019,D-MÁS MADRID,VarMM,VarMMcenso,PODEMOS-IU-2021,PODEMOS-IU-2019,D-PODEMOS-IU,VarPiU,VarPiUcenso,Cs-2021,Cs-2019,D-Cs,VarCs,VarCscenso
10,25, Arganzuela, Delicias,157,0.007461622546456917,21041,20775,266,21,4158,5388,-1230,77,58,19,85,37,48,6799,3172,3627,114.34426229508196,17.23777387006321,23.101910828025478,PSOE,2682,3888,-1206,-31.01851851851852,-5.731666745877098,1113,1132,-19,-1.678445229681979,-0.090299890689606,3792,3111,681,21.8900675024108,3.2365381873485104,1428,895,533,59.55307262569832,2.533149565134737,711,2950,-2239,-75.89830508474577,-10.641129223896202
11,26, Arganzuela, Palos de Moguer,235,0.0120186160691454,19553,19765,-212,19,4565,5700,-1135,55,57,-2,74,47,27,5872,3021,2851,94.37272426348892,14.580882728992995,12.13191489361702,PSOE,2226,3509,-1283,-36.563123396979194,-6.56165294328236,952,950,2,0.21052631578947367,0.010228609420549276,3637,3142,495,15.754296626352643,2.531580831585946,1488,932,556,59.65665236051502,2.8435534189126987,558,2252,-1694,-75.22202486678508,-8.663632179205237
12,27, Arganzuela, Atocha,42,0.040345821325648415,1041,834,207,1,178,207,-29,5,1,4,3,0,3,320,81,239,295.0617283950617,22.958693563880882,5.690476190476191,PSOE,126,163,-37,-22.699386503067483,-3.554274735830932,76,68,8,11.76470588235294,0.7684918347742555,199,134,65,48.507462686567166,6.243996157540826,71,42,29,69.04761904761905,2.785782901056676,56,132,-76,-57.57575757575758,-7.300672430355427
13,31, Retiro, Pacífico,185,0.006959858545577668,26581,27127,-546,26,5141,6473,-1332,104,88,16,74,51,23,10231,5446,4785,87.86265148733014,18.00158007599413,25.864864864864863,PP,3080,4991,-1911,-38.288920056100984,-7.189345773296715,1684,1730,-46,-2.6589595375722546,-0.17305594221436366,3900,3193,707,22.14218603194488,2.659794590120763,1324,871,453,52.00918484500574,1.7042248222414507,897,4135,-3238,-78.30713422007256,-12.181633497611076
14,32, Retiro, Adelfas,70,0.004776526782668032,14655,14641,14,14,2526,3445,-919,75,60,15,35,33,2,5586,2650,2936,110.79245283018868,20.03411804844763,41.94285714285714,PSOE,1739,2669,-930,-34.84451105282878,-6.345957011258956,996,906,90,9.933774834437086,0.6141248720573182,2268,1820,448,24.615384615384617,3.05697714090754,748,446,302,67.71300448430493,2.060730126236779,602,2504,-1902,-75.95846645367412,-12.978505629477993
15,33, Retiro, Estrella,59,0.003137797160027655,18803,19157,-354,18,3139,3821,-682,39,70,-31,51,46,5,8835,5098,3737,73.30325617889369,19.874488113598893,63.33898305084746,PP,1842,3055,-1213,-39.705400981996725,-6.45109822900601,1352,1357,-5,-0.36845983787767134,-0.026591501356166572,2055,1678,377,22.467222884386175,2.004999202254959,684,443,241,54.401805869074494,1.2817103653672286,681,3480,-2799,-80.43103448275862,-14.885922459182046
16,34, Retiro, Ibiza,221,0.013514339876475264,16353,16719,-366,16,3194,4448,-1254,63,45,18,35,32,3,7041,3722,3319,89.17248790972594,20.295970158380726,15.018099547511312,PP,1570,2671,-1101,-41.22051666042681,-6.732709594569804,1148,1182,-34,-2.8764805414551606,-0.20791292117654253,1986,1563,423,27.06333973128599,2.5866813428728674,608,435,173,39.770114942528735,1.057909863633584,614,2519,-1905,-75.62524811433107,-11.649238671803339
17,35, Retiro, Los Jerónimos,106,0.019794584500466852,5355,5508,-153,5,1132,1449,-317,10,16,-6,10,9,1,2543,1573,970,61.66560712015258,18.11391223155929,9.150943396226415,PP,367,603,-236,-39.13764510779436,-4.4070961718020545,506,528,-22,-4.166666666666666,-0.4108309990662932,442,382,60,15.706806282722512,1.1204481792717087,173,109,64,58.71559633027523,1.1951447245564892,155,816,-661,-81.00490196078431,-12.343604108309991
18,36, Retiro, Niño Jesús,90,0.007460212201591512,12064,12122,-58,12,1741,2484,-743,60,34,26,20,11,9,6225,3551,2674,75.30273162489439,22.165119363395224,29.711111111111112,PP,939,1625,-686,-42.215384615384615,-5.68633952254642,1039,1099,-60,-5.45950864422202,-0.49734748010610075,1178,866,312,36.027713625866056,2.586206896551724,330,191,139,72.77486910994764,1.1521883289124668,489,2200,-1711,-77.77272727272727,-14.182692307692307
19,41, Salamanca, Recoletos,325,0.02928719473731639,11097,11410,-313,11,2117,3014,-897,18,40,-22,25,20,5,6494,4167,2327,55.84353251739861,20.969631431918536,7.16,PP,510,802,-292,-36.408977556109726,-2.631341804091196,1106,1207,-101,-8.367854183927093,-0.9101558979904478,402,337,65,19.287833827893174,0.5857438947463278,116,96,20,20.833333333333336,0.18022889069117778,270,1689,-1419,-84.01420959147424,-12.787239794539065
