Municipios;Sexo;Periodo;Total
28152 Torrelodones;Total;2020;23.902
28153 Torremocha de Jarama;Total;2020;1.075
28154 Torres de la Alameda;Total;2020;7.833
28903 Tres Cantos;Total;2020;48.326
28155 Valdaracete;Total;2020;605
28156 Valdeavero;Total;2020;1.591
28157 Valdelaguna;Total;2020;979
28158 Valdemanco;Total;2020;963
28159 Valdemaqueda;Total;2020;775
28160 Valdemorillo;Total;2020;12.772
28161 Valdemoro;Total;2020;77.270
28162 Valdeolmos-Alalpardo;Total;2020;4.232
28163 Valdepiélagos;Total;2020;614
28164 Valdetorres de Jarama;Total;2020;4.581
28165 Valdilecha;Total;2020;2.982
28166 Valverde de Alcalá;Total;2020;498
28167 Velilla de San Antonio;Total;2020;12.380
28168 Vellón, El;Total;2020;2.004
28169 Venturada;Total;2020;2.241
28171 Villa del Prado;Total;2020;6.661
28170 Villaconejos;Total;2020;3.422
28172 Villalbilla;Total;2020;14.392
28173 Villamanrique de Tajo;Total;2020;707
28174 Villamanta;Total;2020;2.605
28175 Villamantilla;Total;2020;1.482
28176 Villanueva de la Cañada;Total;2020;22.115
28178 Villanueva de Perales;Total;2020;1.592
28177 Villanueva del Pardillo;Total;2020;17.396
28179 Villar del Olmo;Total;2020;2.079
28180 Villarejo de Salvanés;Total;2020;7.433
28181 Villaviciosa de Odón;Total;2020;28.148
28182 Villavieja del Lozoya;Total;2020;262
28183 Zarzalejo;Total;2020;1.734
